@relation randomized_final_dataset-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1

@attribute home_team_api_id numeric
@attribute away_team_api_id numeric
@attribute buildUpPlaySpeed_home numeric
@attribute buildUpPlayPassing_home numeric
@attribute chanceCreationPassing_home numeric
@attribute chanceCreationCrossing_home numeric
@attribute chanceCreationShooting_home numeric
@attribute defencePressure_home numeric
@attribute defenceAggression_home numeric
@attribute defenceTeamWidth_home numeric
@attribute buildUpPlaySpeed_away numeric
@attribute buildUpPlayPassing_away numeric
@attribute chanceCreationPassing_away numeric
@attribute chanceCreationCrossing_away numeric
@attribute chanceCreationShooting_away numeric
@attribute defencePressure_away numeric
@attribute defenceAggression_away numeric
@attribute defenceTeamWidth_away numeric
@attribute AVG_HOME_AGE numeric
@attribute AVG_AWAY_AGE numeric
@attribute Home_Team_Aggression numeric
@attribute Home_Team_Potential numeric
@attribute Home_Team_Stamina numeric
@attribute Home_Team_OverallRating numeric
@attribute Home_Team_FreeKick numeric
@attribute Away_Team_Aggression numeric
@attribute Away_Team_Potential numeric
@attribute Away_Team_Stamina numeric
@attribute Away_Team_OverallRating numeric
@attribute Away_Team_FreeKick numeric
@attribute labels {0,1,2}

@data
8521,9874,65,35,50,65,50,55,45,65,50,50,35,65,35,45,55,65,26.909,25.364,56,73,63,70,80,61,74,68,69,76,0
9847,9748,49,41,62,52,60,49,46,52,49,52,49,54,67,46,47,47,26.909,27,71,83,74,81,80,69,79,68,77,82,0
8529,7943,63,53,33,51,68,37,56,51,57,60,66,57,63,54,47,36,24.364,26.818,68,76,71,70,76,63,75,66,72,73,0
8668,9826,43,40,39,33,63,52,58,59,61,67,67,69,50,36,34,41,25.818,27.818,63,82,72,77,78,70,77,72,76,81,1
10192,10199,55,55,55,70,60,55,55,60,45,60,45,70,60,40,45,50,25.545,26.364,62,72,69,66,61,60,70,66,64,82,0
9885,7943,50,20,65,50,80,35,65,35,57,60,56,57,56,38,47,53,28.091,26.545,73,83,75,81,82,59,76,68,73,74,0
9791,10217,50,61,48,58,59,60,62,47,56,66,55,52,38,40,50,52,25.727,25.182,58,71,63,67,80,56,72,66,68,67,1
9925,8284,54,53,51,51,62,58,55,56,47,48,32,61,65,50,44,52,26,26.091,60,75,68,71,73,56,65,63,62,70,0
8634,10278,42,30,65,40,70,70,30,70,40,30,50,35,70,35,35,50,26.273,28.182,64,87,77,83,86,69,75,71,72,73,2
9906,8371,47,51,67,63,54,52,37,55,34,52,55,59,54,47,52,69,26.636,26.727,71,82,73,79,82,70,75,72,72,79,0
