id,AVG_HOME_AGE,AVG_AWAY_AGE
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,25.091
146,23.636,22.909
147,,25.455
148,,27.818
149,,
150,24.727,
151,,
152,,
153,25.0,
154,27.727,24.818
155,,
156,25.273,24.545
157,,
158,23.182,
159,,23.273
160,26.182,
161,,
162,,
163,23.182,25.182
164,,23.364
165,,
166,,
167,,27.727
168,25.182,
169,24.636,26.182
170,,
171,,
172,,24.727
173,,
174,26.182,24.182
175,,
176,,
177,25.273,23.273
178,28.818,
179,23.364,
180,26.818,
181,,26.0
182,,
183,24.545,
184,,27.182
185,,
186,,25.0
187,,
188,23.364,
189,23.364,
190,26.182,24.818
191,25.727,22.909
192,,23.909
193,22.727,
194,,
195,,
196,,
197,27.455,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,26.182
209,,22.909
210,25.091,
211,,
212,,27.818
213,23.091,
214,,25.818
215,23.909,
216,,
217,,26.273
218,27.818,23.727
219,,23.636
220,26.182,25.091
221,26.182,
222,22.818,
223,27.273,
224,25.545,
225,,
226,,26.273
227,24.636,23.182
228,,
229,25.091,
230,25.636,28.545
231,24.909,
232,27.273,25.545
233,22.727,
234,,
235,23.364,25.364
236,,23.364
237,,25.636
238,,26.091
239,,
240,,
241,25.091,26.818
242,,
243,27.545,27.273
244,24.273,26.182
245,26.0,23.636
246,24.636,
247,,
248,,28.364
249,,
250,25.273,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,24.091,
308,,23.818
309,29.091,25.909
310,28.545,24.636
311,25.636,24.818
312,25.455,
313,,27.273
314,25.364,24.091
315,23.545,
316,,25.182
317,,25.727
318,24.727,27.636
319,,26.455
320,27.273,27.545
321,25.273,25.545
322,22.909,
323,23.545,24.727
324,25.364,27.273
325,26.636,27.182
326,24.727,
327,27.364,25.909
328,24.818,25.455
329,,25.182
330,,27.364
331,27.364,24.727
332,26.636,
333,24.727,23.364
334,,25.091
335,24.636,
336,22.909,26.636
337,,28.0
338,25.455,
339,24.909,26.909
340,24.364,24.727
341,,
