id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
518,8571,8342,50,60,50,50,50,60,60,65,35,40,45,50,45,60,70,70,25.636,26.0,65,68,70,64,69,69,75,74,70,69,0
519,8203,9994,65,60,50,40,50,60,70,60,60,60,50,40,50,65,65,70,25.364,25.0,62,70,68,65,69,55,71,66,66,76,0
520,10001,9991,45,60,40,45,55,70,70,70,70,65,60,50,60,45,50,40,24.909,27.4,59,68,66,64,69,67,72,70,69,72,2
522,9985,10000,53,40,55,55,65,70,70,65,65,60,60,40,50,70,60,70,21.0,25.636,64,76,69,70,78,61,69,70,65,65,1
523,9984,9986,45,35,70,45,55,65,60,70,40,50,45,43,60,70,70,70,26.364,24.6,63,68,70,64,62,58,66,65,63,71,1
524,9987,9993,45,45,50,35,60,70,65,70,35,35,45,40,50,70,70,70,23.909,28.0,59,73,66,68,73,61,69,72,65,65,0
525,8342,9991,35,40,45,50,45,60,70,70,70,65,60,50,60,45,50,40,24.636,26.182,59,75,72,69,69,64,72,69,68,83,0
526,9985,8635,53,40,55,55,65,70,70,65,50,35,70,50,60,70,50,70,22.455,24.364,64,77,72,70,78,62,77,71,73,77,0
527,9997,10001,50,50,50,50,50,50,50,50,45,60,40,45,55,70,70,70,26.3,25.182,63,66,66,62,68,52,69,66,65,69,2
528,10000,9986,65,60,60,40,50,70,60,70,40,50,45,43,60,70,70,70,24.909,25.111,59,70,69,65,67,56,67,66,64,71,1
529,9994,9993,60,60,50,40,50,65,65,70,35,35,45,40,50,70,70,70,24.909,26.818,57,70,65,65,76,60,70,69,66,72,0
531,8203,9987,65,60,50,40,50,60,70,60,45,45,50,35,60,70,65,70,25.727,23.182,60,70,67,65,70,58,72,65,67,73,1
533,9991,8571,70,65,60,50,60,45,50,40,50,60,50,50,50,60,60,65,25.818,25.0,63,71,69,68,83,65,69,66,64,71,0
534,9987,9985,45,45,50,35,60,70,65,70,53,40,55,55,65,70,70,65,23.545,22.818,60,72,66,67,73,64,76,72,70,78,0
536,10000,8342,65,60,60,40,50,70,60,70,35,40,45,50,45,60,70,70,25.0,26.545,60,70,70,65,67,58,75,71,70,69,2
537,9986,9994,40,50,45,43,60,70,70,70,60,60,50,40,50,65,65,70,24.0,25.091,55,66,63,62,71,56,70,66,65,76,2
539,10001,8203,45,60,40,45,55,70,70,70,65,60,50,40,50,60,70,60,25.091,25.273,55,70,66,66,69,60,69,67,65,69,1
540,9984,8635,45,35,70,45,55,65,60,70,50,35,70,50,60,70,50,70,25.636,23.818,56,70,68,65,68,62,78,71,73,77,0
541,8635,10001,50,35,70,50,60,70,50,70,45,60,40,45,55,70,70,70,24.818,25.455,62,77,71,73,77,58,68,67,65,69,0
542,9985,9991,53,40,55,55,65,70,70,65,70,65,60,50,60,45,50,40,22.818,26.091,62,76,69,70,78,61,72,70,69,69,0
543,9997,9986,50,50,50,50,50,50,50,50,40,50,45,43,60,70,70,70,27.0,23.8,56,67,67,63,74,56,67,63,62,71,0
544,9994,8342,60,60,50,40,50,65,65,70,35,40,45,50,45,60,70,70,25.364,27.364,56,70,66,65,76,59,74,72,70,69,0
545,8571,9987,50,60,50,50,50,60,60,65,45,45,50,35,60,70,65,70,25.727,23.818,65,68,68,65,71,60,71,65,66,73,0
546,8203,9993,65,60,50,40,50,60,70,60,35,35,45,40,50,70,70,70,25.455,27.455,62,70,68,65,69,61,70,70,66,72,0
549,8342,9985,35,40,45,50,45,60,70,70,53,40,55,55,65,70,70,65,27.818,22.727,62,74,72,69,69,64,77,71,70,78,1
550,9991,8203,70,65,60,50,60,45,50,40,65,60,50,40,50,60,70,60,27.364,25.455,67,71,71,68,83,62,70,68,65,69,0
551,9987,8635,45,45,50,35,60,70,65,70,50,35,70,50,60,70,50,70,24.636,23.182,58,72,66,68,73,61,77,71,71,77,2
552,9993,9997,35,35,45,40,50,70,70,70,50,50,50,50,50,50,50,50,26.636,24.8,60,70,71,65,65,58,67,64,61,68,1
553,10000,9994,65,60,60,40,50,70,60,70,60,60,50,40,50,65,65,70,25.273,25.364,60,70,69,65,67,55,69,66,64,76,1
554,9986,8571,40,50,45,43,60,70,70,70,50,60,50,50,50,60,60,65,23.6,25.727,56,67,64,62,71,65,68,68,65,71,1
556,10001,9984,45,60,40,45,55,70,70,70,45,35,70,45,55,65,60,70,25.455,25.091,58,69,67,65,69,58,70,68,65,68,0
557,8635,8342,50,35,70,50,60,70,50,70,35,40,45,50,45,60,70,70,22.818,27.455,59,76,70,70,71,59,74,72,69,69,1
559,9997,10000,50,50,50,50,50,50,50,50,65,60,60,40,50,70,60,70,26.455,25.455,59,66,66,62,74,58,70,70,65,67,2
560,8571,9993,50,60,50,50,50,60,60,65,35,35,45,40,50,70,70,70,25.727,27.455,65,68,68,65,71,62,69,72,65,72,0
561,8203,9986,65,60,50,40,50,60,70,60,40,50,45,43,60,70,70,70,25.636,23.2,60,70,68,65,69,56,66,65,62,71,0
563,10001,9987,45,60,40,45,55,70,70,70,45,45,50,35,60,70,65,70,25.727,24.273,55,69,66,66,69,59,72,66,67,73,1
564,9984,9991,45,35,70,45,55,65,60,70,70,65,60,50,60,45,50,40,25.091,26.545,58,70,68,65,68,62,72,71,68,69,2
566,9991,8635,70,65,60,50,60,45,50,40,50,35,70,50,60,70,50,70,27.0,23.364,66,72,71,68,83,63,77,72,71,71,2
567,9987,9984,45,45,50,35,60,70,65,70,45,35,70,45,55,65,60,70,24.091,25.818,58,72,66,67,73,56,70,68,65,68,0
568,9993,9985,35,35,45,40,50,70,70,70,53,40,55,55,65,70,70,65,27.636,22.636,60,70,71,66,72,62,76,70,70,78,2
569,10000,8571,65,60,60,40,50,70,60,70,50,60,50,50,50,60,60,65,25.455,25.636,58,70,70,65,67,62,68,67,64,71,1
570,9986,10001,40,50,45,43,60,70,70,70,45,60,40,45,55,70,70,70,22.818,25.818,55,66,64,60,71,53,69,67,65,69,2
571,9994,9997,60,60,50,40,50,65,65,70,50,50,50,50,50,50,50,50,25.909,25.0,56,68,66,64,76,61,67,68,61,74,0
573,8342,9984,35,40,45,50,45,60,70,70,45,35,70,45,55,65,60,70,26.727,25.364,69,74,73,70,69,59,70,67,65,68,2
574,9991,10001,70,65,60,50,60,45,50,40,45,60,40,45,55,70,70,70,26.364,25.364,60,72,70,68,77,58,69,67,65,69,1
575,9993,8635,35,35,45,40,50,70,70,70,50,35,70,50,60,70,50,70,27.091,23.636,61,69,71,65,72,60,76,68,71,71,2
576,10000,9985,65,60,60,40,50,70,60,70,53,40,55,55,65,70,70,65,24.636,21.636,60,70,69,65,67,60,75,67,67,78,0
577,9986,9987,40,50,45,43,60,70,70,70,45,45,50,35,60,70,65,70,23.364,24.091,60,66,66,60,67,58,72,66,67,73,2
578,9994,8203,60,60,50,40,50,65,65,70,65,60,50,40,50,60,70,60,25.273,24.818,55,68,66,64,76,60,70,68,65,69,0
581,8635,9986,50,35,70,50,60,70,50,70,40,50,45,43,60,70,70,70,24.091,24.3,59,73,66,69,68,58,66,64,62,68,0
583,9987,9991,45,45,50,35,60,70,65,70,70,65,60,50,60,45,50,40,24.091,25.818,58,72,66,67,73,61,72,70,68,83,2
584,9997,8342,50,50,50,50,50,50,50,50,35,40,45,50,45,60,70,70,24.0,26.636,55,66,65,61,68,66,74,74,69,69,0
585,8571,9994,50,60,50,50,50,60,60,65,60,60,50,40,50,65,65,70,26.273,25.545,66,68,68,65,71,56,70,66,65,76,1
586,8203,10000,65,60,50,40,50,60,70,60,65,60,60,40,50,70,60,70,24.909,23.909,58,69,67,65,69,57,70,68,65,67,1
588,9984,9993,45,35,70,45,55,65,60,70,35,35,45,40,50,70,70,70,24.273,27.091,60,71,68,64,68,60,69,71,64,71,1
589,8342,10001,35,40,45,50,45,60,70,70,45,60,40,45,55,70,70,70,25.273,25.273,65,75,73,70,69,59,69,65,64,67,0
590,9993,9987,35,35,45,40,50,70,70,70,45,45,50,35,60,70,65,70,27.636,24.091,59,69,71,64,71,59,72,66,67,75,2
591,9997,8571,50,50,50,50,50,50,50,50,50,60,50,50,50,60,60,65,24.909,26.091,60,66,67,62,68,64,68,68,65,71,0
592,10000,8635,65,60,60,40,50,70,60,70,50,35,70,50,60,70,50,70,25.727,24.273,58,69,69,65,67,63,76,69,71,68,2
593,9986,9984,40,50,45,43,60,70,70,70,45,35,70,45,55,65,60,70,20.333,24.636,58,66,57,58,55,59,68,65,62,65,2
594,9994,9985,60,60,50,40,50,65,65,70,53,40,55,55,65,70,70,65,25.455,23.364,56,69,68,65,76,63,76,70,70,74,0
597,8635,9994,50,35,70,50,60,70,50,70,60,60,50,40,50,65,65,70,24.455,25.636,64,75,68,71,77,57,70,67,66,76,1
598,9985,9997,53,40,55,55,65,70,70,65,50,50,50,50,50,50,50,50,23.182,24.818,65,76,72,70,74,59,66,67,61,68,0
