"id","home_team_api_id","away_team_api_id","Home_Team_Aggression","Home_Team_Potential","Home_Team_Stamina","Home_Team_OverallRating","Home_Team_FreeKick","Home_Team_Heading_accuracy","Home_Team_Short_passing","Home_Team_Solleys","Home_Team_Dribbling","Home_Team_Curve","Home_Team_Long_passing","Home_Team_Ball_control","Home_Team_Acceleration","Home_Team_Sprint_speed","Home_Team_Agility","Home_Team_Reactions","Home_Team_Balance","Home_Team_Shot_power","Home_Team_Vision","Home_Team_Marking","Away_Team_Aggression","Away_Team_Potential","Away_Team_Stamina","Away_Team_OverallRating","Away_Team_FreeKick","Away_Team_Heading_accuracy","Away_Team_Short_passing","Away_Team_Solleys","Away_Team_Dribbling","Away_Team_Curve","Away_Team_Long_passing","Away_Team_Ball_control","Away_Team_Acceleration","Away_Team_Sprint_speed","Away_Team_Agility","Away_Team_Reactions","Away_Team_Balance","Away_Team_Shot_power","Away_Team_Vision","Away_Team_Marking","labels"
656,9993,9994,57,70,70,64,71,56,60,47,54,49,55,61,64,66,64,62,66,62,58,39,57,69,66,65,76,56,61,46,57,51,58,63,65,66,61,64,67,66,61,43,1
623,9987,9997,59,73,67,68,75,57,63,50,55,53,60,62,63,67,64,64,63,66,61,43,61,66,67,62,68,50,58,44,53,50,55,58,65,67,67,62,62,58,58,49,1
2665,8483,8654,64,77,69,73,81,57,66,53,61,57,61,67,74,74,68,72,69,61,67,49,68,79,75,74,72,62,65,55,59,54,58,65,69,70,60,72,72,64,64,50,2
18004,10214,9772,71,74,70,70,75,62,64,49,63,55,64,66,72,72,70,72,68,64,62,58,69,85,76,79,86,69,71,67,71,67,74,73,76,75,76,79,74,70,75,51,2
2909,9825,9879,66,83,69,80,86,62,73,58,66,59,67,72,70,70,69,79,61,71,66,54,73,78,74,77,82,69,68,61,60,53,61,69,61,65,62,76,58,72,62,52,1
25560,9931,9956,62,75,75,71,74,60,67,54,64,60,65,68,73,76,75,69,70,68,62,54,60,70,64,67,71,55,59,46,54,45,55,59,65,65,63,62,64,61,50,54,1
11880,9882,8564,70,78,71,73,74,61,68,56,63,58,62,69,70,70,69,71,64,65,57,52,71,83,72,79,77,65,72,62,69,63,67,73,74,74,71,76,63,73,63,54,1
20319,9927,8548,66,70,68,66,68,62,58,36,53,45,51,63,64,66,54,60,60,61,54,47,67,78,74,74,72,63,65,40,62,52,55,67,71,73,72,70,76,60,66,51,2
13755,9839,9908,62,69,68,65,73,53,58,42,56,46,55,63,66,63,61,67,59,56,56,44,66,76,72,69,76,55,61,46,56,48,54,61,71,71,69,69,65,55,62,52,2
16216,8322,8569,47,63,68,57,59,47,47,38,43,42,43,49,62,53,59,52,54,39,48,39,59,65,61,59,53,58,55,50,53,37,54,57,62,61,44,60,52,51,46,39,0
